origin,person,personal-id,sampling_event_code_2022,molecular-id_AHE,Subfamily,tribe,tribe_uncert,subtribe,genus,genus_uncert,species,species_uncert,sex,sex_uncert,date_DNAextraction,year,country,Date,collector,collection_Method,Country,cooY,cooX,altitude,location,AHE1,AHE1 length,AHE-BLAST,AHE-BLAST hit,AHE-identity(coverage),iPhycl,AHE1 iPhycl-Ca. Phytoplasma ass.,AHE1 iPhycl-16S group/subgroup classification,RFLP unique restriction enzymes,AHE2 length,AHE1-AHE2,AHE2 iPhycl-Ca. Phytoplasma ass.,AHE2 iPhycl-16S group/subgroup classification,CAT-AHE,CATcons-AHE,AHE probe kit 2,qPCR,qPCR-Cq,CAT-qPCR
GoLife,,45-18.1-,,,Deltocephalinae,Bonaspeiini,,,Curvostylus,,chloridulus,,M,,,2004,South Africa,13-XII-2004,J.N. Zahniser,sweep,South Africa,"33°14'16.5""S","19°19'31.4""E",945,"SOUTH AFRICA: WCape Prov. Gydo Pass, N Prince Alfred Hamlet",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-19-,,,Deltocephalinae,Bonaspeiini,,,n.gen.SA6,,n.sp.1,,M,,,2004,South Africa,16-XII-2004,J.N. Zahniser,sweep,South Africa,"33°58'29.5""S","19°10'21.6""E",328,"WCape Prov., Theewaterskloof Dam, Franschhoek-Villiersdorp Rd.",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-20.1,,,Deltocephalinae,Paralimnini,,,Pravistylus,,deltoplacus,,M,,,2004,South Africa,6-XII-2004,J.N. Zahniser,sweep,South Africa,"34°03'55.4""S","18°30'09.4""E",9.74,WCape Prov. Rondevlei Nat. Res.,,,,,,,,,,,,,,,,,neg,,
GoLife,,45-21.1,,,Deltocephalinae,Paralimnini,,,Pravistylus,,trunculidiscus,,M,,,2004,South Africa,11-XII-2004,M. Stiller,vacuum,South Africa,"34°38'56.8""S","20°12'40.1""E",8.54,"WCape Prov., Arniston",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-22.1,,,Deltocephalinae,Athysanini,,,Anoterostemma,,ivanoffi,,M,,,2010,Scotland,3-Aug-10,,,Scotland,missing,NX836553,,"VC 73 Kirkcudbrightshire, Kippford",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-23.1+,,,Deltocephalinae,Bonaspeiini,,,Coganus,,breviatus,,M,,,2004,South Africa,10-XII-2004,J.N. Zahniser,sweep,South Africa,"34°13'51.3""S","18°24'46.0""E",54.2,WCape Prov. Cape of Good Hope Nat. Res.,,,,,,,,,,,,,,,,,pos,25.68,
GoLife,,45-24.1,,,Deltocephalinae,Acostemmini,,,Eryapus,,n.sp.1,,M,,,2002,Madagascar,8 – 15 February 2002,M.E. Irwin & F.D. Parker & R. Harin’Hala,Malaise,Madagascar,"23°41'11.4""S","44°35'27.6""E",165,"Tulear Province , Beza Mahafaly Reserve , Parcelle I near research station , in dry deciduous forest",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-25.1,,,Deltocephalinae,Stenometopiini,,,Stirellus,,sagittarius,,M,,,2004,South Africa,27-XII-2004,J.N. Zahniser,sweep,South Africa,"28°33'12.7""S","29°04'37.4""E",1741,"KZN Prov., Oliviershoek Pass summit",,,,,,,,,,,,,,,,,neg,,
GoLife,,46-26.1,,,Deltocephalinae,Pendarini,,,Chlorotettix,,lobatus,,M,,,2004,South Africa,27-XII-2004,J.N. Zahniser,sweep,South Africa,"28°33'12.7""S","29°04'37.4""E",1741,"KZN Prov., Oliviershoek Pass summit",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-27.1,,,Deltocephalinae,Paralimnini,,,Pravistylus,,exquadratus,,M,,,2004,South Africa,27-XII-2004,J.N. Zahniser,sweep,South Africa,"28°33'12.7""S","29°04'37.4""E",1741,"KZN Prov., Oliviershoek Pass summit",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-28.1+,,,Deltocephalinae,Paralimnini,,,Vilargus,,pumilicans,,M,,,2004,South Africa,27-XII-2004,J.N. Zahniser,sweep,South Africa,"28°53'59.1""S","29°26'05.0""E",1583,"KZN Prov., Arthurs Seat hill",,,,,,,,,,,,,,,,,pos,25.51,
GoLife,,45-20.1-,,,Deltocephalinae,Paralimnini,,,Pravistylus,,deltoplacus,,M,,,2004,South Africa,6-XII-2004,J.N. Zahniser,sweep,South Africa,"34°03'55.4""S","18°30'09.4""E",9.74,WCape Prov. Rondevlei Nat. Res.,,,,,,,,,,,,,,,,,neg,,
GoLife,,45-21.1-,,,Deltocephalinae,Paralimnini,,,Pravistylus,,trunculidiscus,,M,,,2004,South Africa,11-XII-2004,M. Stiller,vacuum,South Africa,"34°38'56.8""S","20°12'40.1""E",8.54,"WCape Prov., Arniston",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-22.1-,,,Deltocephalinae,Athysanini,,,Anoterostemma,,ivanoffi,,M,,,2010,Scotland,3-Aug-10,,,Scotland,missing,NX836553,,"VC 73 Kirkcudbrightshire, Kippford",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-23.1-,,,Deltocephalinae,Bonaspeiini,,,Coganus,,breviatus,,M,,,2004,South Africa,10-XII-2004,J.N. Zahniser,sweep,South Africa,"34°13'51.3""S","18°24'46.0""E",54.2,WCape Prov. Cape of Good Hope Nat. Res.,,,,,,,,,,,,,,,,,pos,25.77,
GoLife,,45-24.1-,,,Deltocephalinae,Acostemmini,,,Eryapus,,n.sp.1,,M,,,2002,Madagascar,8 – 15 February 2002,M.E. Irwin & F.D. Parker & R. Harin’Hala,Malaise,Madagascar,"23°41'11.4""S","44°35'27.6""E",165,"Tulear Province , Beza Mahafaly Reserve , Parcelle I near research station , in dry deciduous forest",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-25.1-,,,Deltocephalinae,Stenometopiini,,,Stirellus,,sagittarius,,M,,,2004,South Africa,27-XII-2004,J.N. Zahniser,sweep,South Africa,"28°33'12.7""S","29°04'37.4""E",1741,"KZN Prov., Oliviershoek Pass summit",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-26.1-,,,Deltocephalinae,Paralimnini,,,Pravistylus,,macropygeus,,M,,,2004,South Africa,27-XII-2004,J.N. Zahniser,sweep,South Africa,"28°33'12.7""S","29°04'37.4""E",1741,"KZN Prov., Oliviershoek Pass summit",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-27.1-,,,Deltocephalinae,Paralimnini,,,Pravistylus,,exquadratus,,M,,,2004,South Africa,27-XII-2004,J.N. Zahniser,sweep,South Africa,"28°33'12.7""S","29°04'37.4""E",1741,"KZN Prov., Oliviershoek Pass summit",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-28.1-,,,Deltocephalinae,Paralimnini,,,Vilargus,,pumilicans,,M,,,2004,South Africa,27-XII-2004,J.N. Zahniser,sweep,South Africa,"28°53'59.1""S","29°26'05.0""E",1583,"KZN Prov., Arthurs Seat hill",,,,,,,,,,,,,,,,,pos,27.67,
GoLife,,45-29.1,,,Deltocephalinae,Paralimnini,,,Pravistylus,,dentidiscus,,M,,,2004,South Africa,27-XII-2004,J.N. Zahniser,sweep,South Africa,"28°53'59.1""S","29°26'05.0""E",1583,"KZN Prov., Arthurs Seat hill",,,,,,,,,,,,,,,,,pos,31.37,
GoLife,,45-30.1,,,Deltocephalinae,Paralimnini,,,Ladya,,longipennis,,M,,,2004,South Africa,27-XII-2004,J.N. Zahniser,sweep,South Africa,"28°53'59.1""S","29°26'05.0""E",1583,"KZN Prov., Arthurs Seat hill",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-31.1,,,Deltocephalinae,Paralimnini,,,Vilargus,,pumilicans,,M,,,2004,South Africa,12-XII-2004,J.N. Zahniser,sweep,South Africa,"34°23'52.4""S","20°24'59.0""E",177,"WCape Prov., De Hoop Nat. Res.",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-32.1,,,Deltocephalinae,Paralimnini,,,Vecaulus,,attenuatus,,M,,,2004,South Africa,11-XII-2004,J.N. Zahniser,sweep,South Africa,"34°27'05.0""S","20°26'01.5""E",15,"WCape Prov., De Hoop Nat. Res.",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-33.1,,,Deltocephalinae,Paralimnini,,,Pravistylus,,oxyphysis,,M,,,2004,South Africa,11-XII-2004,J.N. Zahniser,sweep,South Africa,"34°27'05.0""S","20°26'01.5""E",15,"WCape Prov., De Hoop Nat. Res.",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-34.1,,,Deltocephalinae,Paralimnini,,,Pravistylus,,indistinctidiscus,,M,,,2004,South Africa,10-XII-2004,J.N. Zahniser,sweep,South Africa,"34°13'51.3""S","18°24'46.0""E",54.2,"WCape Prov., Cape of Good Hope Nat. Res.",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-35.1,,,Deltocephalinae,Chiasmini,,,Chiasmus,,varicolor,,M,,,2004,South Africa,15-XII-2004,J.N. Zahniser,sweep,South Africa,"33°41'47.1""S","19°04'30.2""E",844,"WCape Prov., Du Toitskloof Pass summit",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-36.1,,,Deltocephalinae,Paralimnini,,,Elginus,,furcillatus,,M,,,2004,South Africa,9-XII-2004,J.N. Zahniser,sweep,South Africa,"34°08'17.5""S","18°25'05.5""E",85.4,"WCape Prov., Vishoek",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-37.1,,,Deltocephalinae,Stenometopiini,,,Stirellus,,sagittarius,,M,,,2004,South Africa,9-XII-2004,J.N. Zahniser,sweep,South Africa,"34°08'17.5""S","18°25'05.5""E",85.4,"WCape Prov., Vishoek",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-29.1-,,,Deltocephalinae,Paralimnini,,,Pravistylus,,dentidiscus,,M,,,2004,South Africa,27-XII-2004,J.N. Zahniser,sweep,South Africa,"28°53'59.1""S","29°26'05.0""E",1583,"KZN Prov., Arthurs Seat hill",,,,,,,,,,,,,,,,,pos,31.35,
GoLife,,45-30-,,,Deltocephalinae,Paralimnini,,,Ladya,,longipennis,,M,,,2004,South Africa,27-XII-2004,J.N. Zahniser,sweep,South Africa,"28°53'59.1""S","29°26'05.0""E",1583,"KZN Prov., Arthurs Seat hill",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-31.1-,,,Deltocephalinae,Paralimnini,,,Vilargus,,pumilicans,,M,,,2004,South Africa,12-XII-2004,J.N. Zahniser,sweep,South Africa,"34°23'52.4""S","20°24'59.0""E",177,"WCape Prov., De Hoop Nat. Res.",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-32-,,,Deltocephalinae,Paralimnini,,,Vecaulus,,attenuatus,,M,,,2004,South Africa,11-XII-2004,J.N. Zahniser,sweep,South Africa,"34°27'05.0""S","20°26'01.5""E",15,"WCape Prov., De Hoop Nat. Res.",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-33.1-,,,Deltocephalinae,Paralimnini,,,Pravistylus,,oxyphysis,,M,,,2004,South Africa,11-XII-2004,J.N. Zahniser,sweep,South Africa,"34°27'05.0""S","20°26'01.5""E",15,"WCape Prov., De Hoop Nat. Res.",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-34.1-,,,Deltocephalinae,Paralimnini,,,Pravistylus,,indistinctidiscus,,M,,,2004,South Africa,10-XII-2004,J.N. Zahniser,sweep,South Africa,"34°13'51.3""S","18°24'46.0""E",54.2,"WCape Prov., Cape of Good Hope Nat. Res.",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-35.1-,,,Deltocephalinae,Chiasmini,,,Chiasmus,,varicolor,,M,,,2004,South Africa,15-XII-2004,J.N. Zahniser,sweep,South Africa,"33°41'47.1""S","19°04'30.2""E",844,"WCape Prov., Du Toitskloof Pass summit",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-36.1-,,,Deltocephalinae,Paralimnini,,,Elginus,,furcillatus,,M,,,2004,South Africa,9-XII-2004,J.N. Zahniser,sweep,South Africa,"34°08'17.5""S","18°25'05.5""E",85.4,"WCape Prov., Vishoek",,,,,,,,,,,,,,,,,neg,,
GoLife,,41-57.1,,,Deltocephalinae,Punctulini,?,,n.gen.CB1,,,,M,,,2016,Cambodia,17-21.XII.2016,"Buffington, Gotzek",,Cambodia,"13°16'25.6""N","105°52'55.2""E",70,"Stung Treng Prov. Sembok Dist., Sembok Village, 2.5km E of Mekong River, MT #21 top of hill",,,,,,,,,,,,,,,,,neg,,
GoLife,,42-66.1,,,Deltocephalinae,Scaphytopiini,,,Scaphytopius,,n.sp.7,,M,,,2002,Peru,20-Oct-02,D.M. Takiya,,Peru,"10°46'17.0""S","75°09'03.0""W",850,Junín Alto Yurinaqui,,,,,,,,,,,,,,,,,neg,,
GoLife,,42-61.1,,,Deltocephalinae,Scaphytopiini,,,Scaphytopius,,anticus,,M,,,2002,Peru,17-Oct-02,C.H. Dietrich,Hg light,Peru,"11°07'15.0""S","75°21'13.0""W",800,"Junín,San Ramón",,,,,,,,,,,,,,,,,neg,,
GoLife,,42-57.1,,,Deltocephalinae,Deltocephalini,,,Polyamia,,n.sp.,,M,,,2017,Usa,21-Jun-17,C.H. Dietrich,sweep,USA,"40°10'22.8""N","90°04'12.0""W",157,IL: Mason Co. Sand Prairie-Scrub Oak NP,,,,,,,,,,,,,,,,,neg,,
GoLife,,41-60.1,,,Deltocephalinae,Drabescini,,,Isaca,,bipars,,M,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,42-71.1,,,Deltocephalinae,Pendarini,,,Paraphlepsius,,floridanus,,M,,,2021,Usa,26-Jul-21,C.H. Dietrich,light,USA,"36°04'12.0""N","81°56'24.0""W",,"NC, Avery Co. ca. Newland",,,,,,,,,,,,,,,,,neg,,
GoLife,VT CH1,41-51.1,,,Deltocephalinae,Paralimnini,,,Jassargus,,avennicus,,M,,,2017,Switzerland,11-Jun-17,V. Trivellone,sweep,Switzerland,"45°57'40.8""N","8°52'47.8""E",196,"Caslano, Monte di Caslano, Valleggi",,,,,,,,,,,,,,,,,pos,33.47,
GoLife,,DEL-117,,,Deltocephalinae,Macrostelini,,,Nesoclutha,,phryne,,M,,,2015,Australia,22-Feb-15,C.H. Dietrich,vacuum,Australia,"27°22'22.1""S","152°10'40.8""E",768,QLD Ravensbourne,,,,,,,,,,,,,,,,,pos,32.05,
GoLife,,DEL-116,,,Deltocephalinae,Deltocephalini,,,Maiestas,,webbi,,M,,,2015,Australia,22-Feb-15,C.H. Dietrich,vacuum,Australia,"27°22'22.1""S","152°10'40.8""E",768,QLD Ravensbourne,,,,,,,,,,,,,,,,,pos,32.14,
GoLife,,DEL-105,,,Deltocephalinae,Paralimnini,,Paralimnina,Multiproductus,,,,M,,,2007,Thailand,6.ii-2.iii.2007,Patikhom Tumtip,Malaise,Thailand,"17°29'54.4""N","101°20'29.0""E",1196,Loei ,,,,,,,,,,,,,,,,,pos,28.3,
,,,,,,,,,,,,,,,,,,,,,,,,,Phu Ruea NP Nern Wibaak ditch  ,,,,,,,,,,,,,,,,,,,
GoLife,,DEL-108,,,Deltocephalinae,Macrostelini,,,Nesoclutha,,phryne,,M,,,2008,Australia,13-Feb-08,"K. Hill, D. Marshall, C. Owen, M. Moulds, M. Humphrey",,Australia,"24°05'42.0""S","143°10'24.0""E",180,Queensland 13 Feb 2008  Approx 1.5km W of Noonbah Station driveway,,,,,,,,,,,,,,,,,pos,31.02,
GoLife,,DEL-100,,,Deltocephalinae,Paralimnini,,Paralimnina,Acharis,,n.sp.,,M,,,2012,China,12-Jul-12,C.H. Dietrich,vacuum,China,"33°58'52.8""N","108°09'49.8""E",,"Shaanxi, 8km ENE Chenhexiang,",,,,,,,,,,,,,,,,,pos,30.09,
GoLife,,45-37.1-,,,Deltocephalinae,Stenometopiini,,,Stirellus,,sagittarius,,M,,,2004,South Africa,9-XII-2004,J.N. Zahniser,sweep,South Africa,"34°08'17.5""S","18°25'05.5""E",85.4,"WCape Prov., Vishoek",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-38.1+,,,Deltocephalinae,Paralimnini,,,Naudeus,,bivittatus,,M,,,2004,South Africa,9-XII-2004,J.N. Zahniser,sweep,South Africa,"34°08'17.5""S","18°25'05.5""E",85.4,"WCape Prov., Vishoek",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-39.1+,,,Deltocephalinae,Bonaspeiini,,,Johanus,,sp.,,F,,,2004,South Africa,9-XII-2004,J.N. Zahniser,sweep,South Africa,"34°08'17.5""S","18°25'05.5""E",85.4,"WCape Prov., Vishoek",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-40.1+,,,Deltocephalinae,Paralimnini,,,Vilargus,,pumilicans,,M,,,2004,South Africa,26-XII-2004,J.N. Zahniser,sweep,South Africa,"29°26'47.8""S","29°46'26.6""E",1783,"KZN Prov., SE of Kamberg",,,,,,,,,,,,,,,,,pos,28.19,
GoLife,,45-41.1+,,,Deltocephalinae,Paralimnini,,,Pravistylus,,exquadratus,,M,,,2004,South Africa,26-XII-2004,J.N. Zahniser,sweep,South Africa,"29°26'47.8""S","29°46'26.6""E",1783,"KZN Prov., SE of Kamberg",,,,,,,,,,,,,,,,,pos,33.34,
GoLife,,45-42.1+,,,Deltocephalinae,Bonaspeiini,,,Tzitzikamaia,,n.sp.,,M,,,2004,South Africa,26-XII-2004,J.N. Zahniser,sweep,South Africa,"29°26'47.8""S","29°46'26.6""E",1783,"KZN Prov., SE of Kamberg",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-43.1+,,,Deltocephalinae,Paralimnini,,,Elginus,,saltus,,M,,,2004,South Africa,16-XII-2004,J.N. Zahniser,sweep,South Africa,"33°58'29.5""S","19°10'21.6""E",328,"WCape Prov., Theewaterskloof Dam, Franschhoek-Villiersdorp Rd.",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-44.1+,,,Deltocephalinae,Deltocephalini,,,n.gen.ZA1,,n.sp.1,,M,,,2007,Zambia,31.X-10.IX.2007,J.N. Zahniser,sweep,Zambia,"12°54'19.5""S","28°14'22.4""E",1151,Copperbelt Prov. ~12 km SSE of Kitwe Kumasamba Lodge,,,,,,,,,,,,,,,,,neg,,
GoLife,,45-45.1+,,,Deltocephalinae,Acostemmini,,,Eryapus,,n.sp.2,,M,,,2002,Madagascar,26 Jan – 5 Feb 2002,M.E. Irwin & R. Harin'Hala,Malaise,Madagascar,"22°46'45.0""S","45°01'30.0""E",1100,"Province Fianarantsoa, radio tower 22 km SW of Ilakaka, near Fianarantsoa/Tulear border",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-46.1+,,,Deltocephalinae,Penthimiini,,,Musosa,,aenea,,M,,,2006,Zambia,"Apr.19-May 1, 2006","J.R. Cryan, J.M. Urban",,Zambia,"12°54'20.0""S","28°14'22.3""E",,"Copperbelt Province; Kitwe District; Kumasamba Lodge nr. Kafue River, ~5km S Kitwe",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-38.1-,,,Deltocephalinae,Paralimnini,,,Naudeus,,bivittatus,,M,,,2004,South Africa,9-XII-2004,J.N. Zahniser,sweep,South Africa,"34°08'17.5""S","18°25'05.5""E",85.4,"WCape Prov., Vishoek",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-39.1-,,,Deltocephalinae,Bonaspeiini,,,Johanus,,sp.,,F,,,2004,South Africa,9-XII-2004,J.N. Zahniser,sweep,South Africa,"34°08'17.5""S","18°25'05.5""E",85.4,"WCape Prov., Vishoek",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-40.1-,,,Deltocephalinae,Paralimnini,,,Vilargus,,pumilicans,,M,,,2004,South Africa,26-XII-2004,J.N. Zahniser,sweep,South Africa,"29°26'47.8""S","29°46'26.6""E",1783,"KZN Prov., SE of Kamberg",,,,,,,,,,,,,,,,,pos,31.16,
GoLife,,45-41.1-,,,Deltocephalinae,Paralimnini,,,Pravistylus,,exquadratus,,M,,,2004,South Africa,26-XII-2004,J.N. Zahniser,sweep,South Africa,"29°26'47.8""S","29°46'26.6""E",1783,"KZN Prov., SE of Kamberg",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-42.1-,,,Deltocephalinae,Bonaspeiini,,,Tzitzikamaia,,n.sp.,,M,,,2004,South Africa,26-XII-2004,J.N. Zahniser,sweep,South Africa,"29°26'47.8""S","29°46'26.6""E",1783,"KZN Prov., SE of Kamberg",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-43.1-,,,Deltocephalinae,Paralimnini,,,Elginus,,saltus,,M,,,2004,South Africa,16-XII-2004,J.N. Zahniser,sweep,South Africa,"33°58'29.5""S","19°10'21.6""E",328,"WCape Prov., Theewaterskloof Dam, Franschhoek-Villiersdorp Rd.",,,,,,,,,,,,,,,,,pos,34.4,
GoLife,,45-44.1-,,,Deltocephalinae,Deltocephalini,,,n.gen.ZA1,,n.sp.1,,M,,,2007,Zambia,31.X-10.IX.2007,J.N. Zahniser,sweep,Zambia,"12°54'19.5""S","28°14'22.4""E",1151,Copperbelt Prov. ~12 km SSE of Kitwe Kumasamba Lodge,,,,,,,,,,,,,,,,,neg,,
GoLife,,45-45.1-,,,Deltocephalinae,Acostemmini,,,Eryapus,,n.sp.2,,M,,,2002,Madagascar,26 Jan – 5 Feb 2002,M.E. Irwin & R. Harin'Hala,Malaise,Madagascar,"22°46'45.0""S","45°01'30.0""E",1100,"Province Fianarantsoa, radio tower 22 km SW of Ilakaka, near Fianarantsoa/Tulear border",,,,,,,,,,,,,,,,,dubious,4.25,
GoLife,,45-46.1-,,,Deltocephalinae,Penthimiini,,,Musosa,,aenea,,M,,,2006,Zambia,"Apr.19-May 1, 2006","J.R. Cryan, J.M. Urban",,Zambia,"12°54'20.0""S","28°14'22.3""E",,"Copperbelt Province; Kitwe District; Kumasamba Lodge nr. Kafue River, ~5km S Kitwe",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-47.1+,,,Deltocephalinae,Selenocephalini,,,Citorus,,n.sp.,,M,,,2006,Zambia,"Apr.19-May 1, 2006","J.R. Cryan, J.M. Urban",,Zambia,"12°54'20.0""S","28°14'22.3""E",,"Copperbelt Province; Kitwe District; Kumasamba Lodge nr. Kafue River, ~5km S Kitwe",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-47.1-,,,Deltocephalinae,Selenocephalini,,,Citorus,,n.sp.,,M,,,2006,Zambia,"Apr.19-May 1, 2006","J.R. Cryan, J.M. Urban",,Zambia,"12°54'20.0""S","28°14'22.3""E",,"Copperbelt Province; Kitwe District; Kumasamba Lodge nr. Kafue River, ~5km S Kitwe",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-48.1+,,,Deltocephalinae,Selenocephalini,,,Adama,,elongata,,M,,,2006,Zambia,"Apr. 19-May 1, 2006",J. Urban,,Zambia,"12°50'25.0""S","28°07'03.0""E",,"Copperbelt Province; Kalulushi District; Chembe Bird Sanctuary, ~6 km E Kalulushi",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-48.1-,,,Deltocephalinae,Selenocephalini,,,Adama,,elongata,,M,,,2006,Zambia,"Apr. 19-May 1, 2006",J. Urban,,Zambia,"12°50'25.0""S","28°07'03.0""E",,"Copperbelt Province; Kalulushi District; Chembe Bird Sanctuary, ~6 km E Kalulushi",,,,,,,,,,,,,,,,,neg,,
GoLife,,45-49.1+,,,Deltocephalinae,Deltocephalini,,,Amplicephalus,,n.sp.,,M,,,2002,Peru,29-Oct-02,C.H. Dietrich,vacuum,Peru,"11°36'20.0""S","76°02'34.0""W",4000,Junín 6 km SW La Oroya,,,,,,,,,,,,,,,,,neg,,
GoLife,,45-49.1-,,,Deltocephalinae,Deltocephalini,,,Amplicephalus,,n.sp.,,M,,,2002,Peru,29-Oct-02,C.H. Dietrich,vacuum,Peru,"11°36'20.0""S","76°02'34.0""W",4000,Junín 6 km SW La Oroya,,,,,,,,,,,,,,,,,neg,,
GoLife,,46-1.1,,,Deltocephalinae,Punctulini,,,n.gen.,,n.sp.T1,,M,,,2007,Thailand,31.viii-7.ix.2007,"Thawatchai Boonthum, Anuchart Chaimuengchun",Malaise,Thailand,"19°18'42.7""N","98°36'23.9""E",1670,Chiang Mai Huai Nam Dang NP behind visitor house,,,,,,,,,,,,,,,,,neg,,
GoLife,,46-2.1,,,Deltocephalinae,Mukariini,,,Mukaria,,n.sp.T1,,M,,,2007,Thailand,31.viii-7.ix.2007,"Thawatchai Boonthum, Anuchart Chaimuengchun",Malaise,THAILAND,"19°18'42.7""N","98°36'23.9""E",1670,,,,,,,,,,,,,,,,,,neg,,
GoLife,,46-3.1,,,Deltocephalinae,Mukariini,,,Mukaria,,n.sp.T2,,M,,,2007,Thailand,9-15.iii.2007,Katae Sa-nog & Buakaw Adnafai,Malaise,THAILAND,"15°37'32.4""N","101°23'18.8""E",673,,,,,,,,,,,,,,,,,,neg,,
GoLife,,46-4.1,,,Deltocephalinae,Mukariini,,,Mukaria,,n.sp.T3,,M,,,2008,Thailand,31.viii-8.ix.2008,S. Buathong,Malaise,THAILAND,"8°53'43.5""N","98°39'01.5""E",87,,,,,,,,,,,,,,,,,,neg,,
GoLife,,46-5.1,,,Deltocephalinae,Punctulini,,,n.gen.,,n.sp.T2,,M,,,2007,Thailand,5-12.i.2007,Somchai Chachumnan & Saink Singtong,Malaise,THAILAND,"16°39'35.3""N","101°08'11.1""E",168,,,,,,,,,,,,,,,,,,neg,,
GoLife,,46-6.1,,,Deltocephalinae,Mukariini,,,Neomohunia,,n.sp.,,M,,,2006,Thailand,18-25.ix.2006,Sutin Glong-lasae,Malaise,THAILAND,"16°56'34.1""N","101°49'02.7""E",274,,,,,,,,,,,,,,,,,,neg,,
GoLife,,46-10.1,,,Deltocephalinae,Mukariini,,,Mohunia,,splendens,,M,,,2007,Thailand,25.xii.2006-1.i.2007,"Thongcome, Pakdee",Malaise,THAILAND,"15°39'59.3""N","105°30'28.1""E",238,,,,,,,,,,,,,,,,,,neg,,
GoLife,,46-11.1,,,Deltocephalinae,Athysanini,,,n.gen.,,n.sp.1,,M,,,2008,Thailand,11-18.vii.2008,Sirichai & Chusak,Malaise,THAILAND,"12°49'09.1""N","99°22'29.0""E",950,,,,,,,,,,,,,,,,,,neg,,
GoLife,,46-12.1,,,Deltocephalinae,Paralimnini,,,Subhimalus,,n.sp.T1,,M,,,2006,Thailand,22-29.xii.2006,Y. Areeluck,Malaise,THAILAND,"18°35'21.7""N","98°29'09.4""E",2500,,,,,,,,,,,,,,,,,,neg,,
GoLife,,46-13.1,,,Deltocephalinae,Punctulini,,,n.gen.T2,,n.sp.1,,M,,,2006,Thailand,26.xii.2006-2.i.2007,Patikhom Tumtip,Malaise,THAILAND,"17°27'49.7""N","101°21'21.6""E",691,,,,,,,,,,,,,,,,,,neg,,
GoLife,,46-15.1,,,Deltocephalinae,Paralimnini,,,Bhavapura,,n.sp.T1,,F,,,2006,Thailand,9-11.viii.2006,Sutin Khonglasae,litter sample,THAILAND,"16°51'49.0""N","101°50'42.2""E",270,,,,,,,,,,,,,,,,,,neg,,
GoLife,,46-16.1,,,Deltocephalinae,Acostemmini,,,n.gen.,,n.sp.,,M,,,2009,Madagascar,23 July – 2 Aug 2009,M.E. Irwin & R. Harin'Hala,Malaise,MADAGASCAR,"25°01'49.2""S","44°41'29.4""E",86,,,,,,,,,,,,,,,,,,neg,,
GoLife,,46-17.1,,,Deltocephalinae,Athysanini,,,Branchana,,xanthota,,M,,,2018,China,28-Jul-18,C.H. Dietrich,,CHINA,"34°15'32.0""N","108°03'55.1""E",478,,,,,,,,,,,,,,,,,,neg,,
